iter	RMSE
0	14.75539603
1	14.37931557
2	13.99117715
3	13.61521166
4	13.25788852
5	12.9362769
6	12.62179028
7	12.31753381
8	12.07246753
9	11.77710541
10	11.48485524
11	11.21307155
12	11.00345356
13	10.79706581
14	10.56324104
15	10.32348414
16	10.10366706
17	9.888320196
18	9.677667836
19	9.481170232
20	9.305665547
21	9.152583224
22	8.975116886
23	8.814759621
24	8.658778973
25	8.525435041
26	8.3857648
27	8.253367054
28	8.133331244
29	8.015040401
30	7.891272375
31	7.777806164
32	7.681926107
33	7.567471713
34	7.460946392
35	7.368516295
36	7.273293334
37	7.184882822
38	7.098163016
39	7.02460782
40	6.95371192
41	6.889591059
42	6.811691798
43	6.756764524
44	6.689743352
45	6.633629118
46	6.565650611
47	6.505679743
48	6.446881342
49	6.389771385
50	6.335736289
51	6.293484353
52	6.245198694
53	6.197108012
54	6.152033817
55	6.105138172
56	6.069190647
57	6.036349449
58	5.999221676
59	5.969304905
60	5.933744143
61	5.903359687
62	5.86369025
63	5.827772332
64	5.797103421
65	5.767641663
66	5.738615593
67	5.70964737
68	5.691354745
69	5.666011914
70	5.649926103
71	5.625310525
72	5.604703069
73	5.583525106
74	5.562421538
75	5.539389516
76	5.520064309
77	5.504495009
78	5.486621851
79	5.467547235
80	5.457000043
81	5.437622303
82	5.424375165
83	5.4080874
84	5.396842779
85	5.384473281
86	5.371480878
87	5.358456999
88	5.342752857
89	5.330047284
90	5.320287841
91	5.31026201
92	5.300941643
93	5.290909368
94	5.282079414
95	5.272296948
96	5.260197045
97	5.250154866
98	5.241636825
99	5.227130732
100	5.21769482
101	5.205951592
102	5.197685242
103	5.185462535
104	5.179359519
105	5.170009283
106	5.161692035
107	5.154787851
108	5.14848259
109	5.140974631
110	5.136438892
111	5.128312939
112	5.119916988
113	5.114935452
114	5.109477771
115	5.103354023
116	5.098176744
117	5.093377736
118	5.091387454
119	5.081871524
120	5.076222483
121	5.072401376
122	5.066405838
123	5.057919806
124	5.053489428
125	5.047567298
126	5.044233094
127	5.039385992
128	5.03496158
129	5.031045659
130	5.025728502
131	5.020219845
132	5.014691147
133	5.009190718
134	5.006364272
135	5.002416506
136	4.99655984
137	4.992344685
138	4.989132107
139	4.981339372
140	4.980833609
141	4.976333868
142	4.972272626
143	4.96866261
144	4.962816027
145	4.955767034
146	4.952104856
147	4.949687633
148	4.944925905
149	4.938704651
150	4.933583772
151	4.929484805
152	4.925223056
153	4.922238072
154	4.919982558
155	4.915360866
156	4.908064615
157	4.903619477
158	4.90138526
159	4.898982592
160	4.895523735
161	4.891821248
162	4.888355256
163	4.880980885
164	4.878805139
165	4.871543078
166	4.869793496
167	4.866598129
168	4.866162733
169	4.862791054
170	4.858438551
171	4.855653293
172	4.851219526
173	4.849235142
174	4.848931074
175	4.846251527
176	4.841665488
177	4.837189432
178	4.83321783
179	4.826647125
180	4.823719928
181	4.820965193
182	4.817429125
183	4.814177769
184	4.810630009
185	4.807724857
186	4.805088225
187	4.802689315
188	4.798437554
189	4.797367071
190	4.794526011
191	4.790319838
192	4.784059244
193	4.779090655
194	4.773369187
195	4.76865355
196	4.762952202
